iter	Passed	Remaining
927	1740	135
928	1741	133
929	1742	131
930	1743	129
931	1745	127
932	1746	125
933	1747	123
934	1748	121
935	1749	119
936	1750	117
937	1751	115
938	1752	113
939	1754	111
940	1755	110
941	1756	108
942	1758	106
943	1759	104
944	1760	102
945	1762	100
946	1763	98
947	1764	96
948	1765	94
949	1766	92
950	1767	91
951	1768	89
952	1769	87
953	1770	85
954	1771	83
955	1773	81
956	1774	79
957	1775	77
958	1776	75
959	1778	74
960	1779	72
961	1780	70
962	1781	68
963	1783	66
964	1784	64
965	1785	62
966	1786	60
967	1787	59
968	1788	57
969	1789	55
970	1791	53
971	1792	51
972	1793	49
973	1794	47
974	1795	46
975	1796	44
976	1797	42
977	1798	40
978	1800	38
979	1801	36
980	1802	34
981	1803	33
982	1804	31
983	1805	29
984	1806	27
985	1807	25
986	1808	23
987	1810	21
988	1811	20
989	1812	18
990	1813	16
991	1814	14
992	1815	12
993	1816	10
994	1818	9
995	1819	7
996	1820	5
997	1821	3
998	1822	1
999	1823	0
